Name	Clock In Time        	Clock Out Times        	Total Time (Min)
Tyler	1/12/2022 10:28:30 AM	1/12/2022 10:29:14 AM	1
Tyler	1/12/2022 11:43:57 AM	1/12/2022 11:43:58 AM	0
Eli	1/17/2022 11:12:24 AM	1/17/2022 11:22:54 AM	10
Tyler	1/17/2022 11:22:45 AM	1/17/2022 11:22:46 AM	0
Tyler	1/18/2022 11:17:21 AM	1/18/2022 11:17:22 AM	0
Tyler	1/18/2022 11:17:24 AM	1/18/2022 11:17:26 AM	0
Tyler	1/18/2022 11:35:32 AM	1/18/2022 11:35:33 AM	0
Tyler	1/19/2022 11:02:46 AM	1/20/2022 10:02:43 AM	1380
Tyler	1/20/2022 11:06:36 AM	1/20/2022 11:06:37 AM	0
